,nombre,nombre_asesor,partido,pcia,asesores_masculinos,asesores_femeninos
Luenzo    Alfredo Héctor,Luenzo    Alfredo Héctor,"['NICOLAS', 'VERONICA SANDRA', 'JUAN MANUEL', 'MARIA', 'GABRIELA BEATRIZ', 'GASTON FEDERICO', 'MARIA FLORENCIA', 'MARIA CONSTANZA', 'ALEJANDRO ANGEL', 'KARINA MARIANA', 'EMILIANO ALBERTO', 'LILIANA DEL VALLE', 'MARCELO ARIEL', 'LILA MABEL', 'WALTER OMAR', 'CAROLINA BEATRIZ', 'LUIS RODRIGO']",Chubut Somos Todos,Chubut,8,9
Marino    Juan Carlos,Marino    Juan Carlos,"['JUAN JOSE', 'MARCELO ARIEL', 'NORMA BEATRIZ', 'IGNACIO RODRIGO', 'MARIA DE LAS MERCEDES', 'KARINA GISELLE', 'ESTEBAN HÉCTOR RICARDO', 'ANALIA SOLEDAD', 'GERALDINE', 'PEDRO CARLOS', 'GABRIEL ALEJANDRO', 'MARIA JULIA', 'CARLA VANESA', 'MARIA VICTORIA', 'ESTEFANIA NAHIR', 'LUCAS', 'DELFINA', 'MARIA SUSANA ANTONIA', 'VICTORIA', 'JOSE MARIA', 'BRUNO', 'MERCEDES', 'AGUSTINA SILVIA', 'NOELIA PATRICIA', 'ARTURO']",Alianza Cambiemos,La Pampa,10,15
Martínez    Ernesto Félix,Martínez    Ernesto Félix,"['LUIS ALBERTO', 'GABRIELA SILVINA', 'LAURICIA', 'SANTIAGO EMILIO', 'JERONIMO WALTER', 'PAMELA HUMILDAD', 'MARCELO', 'GRACIELA NOEMI', 'PEDRO DANIEL', 'MARIANO DANILO', 'SERGIO ALBERTO', 'MARCELO CLAUDIO', 'RICARDO HECTOR', 'JUAN ANDRES', 'FABIAN EDUARDO', 'NICOLAS REYNERIO', 'MONICA SOLEDAD', 'MARIA EUGENIA', 'MATIAS PABLO', 'RODRIGO FRANCISCO', 'SERGIO EDUARDO', 'MARIA AGUSTINA', 'OSCAR HUGO', 'GUSTAVO MARCELO', 'WALTER BASILIO', 'RICARDO ARIEL', 'PATRICIA NOEMI', 'OSVALDO BENJAMIN', 'JUAN PABLO']",Alianza Cambiemos,Córdoba,21,8
Martínez    Julio César,Martínez    Julio César,"['DAMIAN ALFREDO', 'GUSTAVO ANIBAL', 'MATIAS MANUEL', 'ADRIANO', 'GUSTAVO ADRIAN', 'VICTOR HUGO', 'IRMA YANET', 'TIAGO TOMAS', 'LEOPOLDO FRANCISCO', 'JUAN I.', 'EDUARDO EMILIO', 'AMARO RAMON', 'RUBEN HORACIO']",Cambiemos Fuerza Civica Riojana,La Rioja,12,1
Mayans    José Miguel Ángel,Mayans    José Miguel Ángel,"['JOSE DOMINGO SANTIAGO', 'ARMANDO RODOLFO', 'JULIAN', 'GRISELDA GISELLE', 'JORGE RAMON', 'JORGE EUSEBIO', 'RAMON', 'SILVIO ROLANDO', 'DIEGO NICOLAS', 'NOELIA MIRIAM', 'JOAQUIN CESAR ALCIDES', 'SILVIO LEONARDO', 'ANTONIO', 'ALDO RICARDO', 'JORGE ANIBAL', 'GONZALO OMAR', 'EDUARDO ANTONIO', 'NATALIA BELEN', 'MARIA LUISA', 'REINALDO FABIAN', 'SANTIAGO MIGUEL', 'GERMAN ARNOLDO RAMON', 'CESAR F. J.', 'LEILA DORA', 'MARCELO LUIS', 'SERGIO GUSTAVO', 'AUGUSTO GUILLERMO', 'CARLOS RUBEN', 'OSCAR RUBEN', 'ENRIQUE FRANCISCO', 'HUGO ARMANDO', 'GUILLERMO REINALDO', 'MARIA FLORENCIA', 'PEDRO', 'CARLOS RAMON', 'RAMON']",Frente de la Victoria,Formosa,30,6
Menem    Carlos Saúl,Menem    Carlos Saúl,"['JOSE RICARDO', 'JORGE LUIS', 'RAMON ROSA', 'PABLO MARCELO', 'ALEJANDRA GABRIELA', 'ERNESTO ROLANDO', 'OMAR LUIS', 'MELINA ITATI', 'MARIA CELESTE', 'MARIA', 'DIEGO EMANUEL', 'VICTOR HUGO', 'MARIA FLORENCIA', 'CECILIA ROMINA', 'CAROLA FABIANA', 'OSVALDO DANIEL', 'EDUARDO', 'VIVIANA ALACIEL', 'MARIA INES', 'WENDY LOURDES', 'PEDRO RICARDO', 'GILDA MELISA', 'RAFAEL CARLOS', 'FABIANA CAROLINA', 'JUAN DOMINGO']",Frente Justicialista Riojano,La Rioja,13,12
Mera    Dalmacio,Mera    Dalmacio,"['TOMAS ALBERTO', 'AGUSTINA', 'PABLO ERNESTO', 'OSCAR NICOLAS', 'ALFREDO OSVALDO', 'VALERIA MARCELA', 'TOMAS AGUSTIN', 'LUCIANA SOLEDAD', 'RAFAEL AGUSTIN', 'EMILIANO', 'CARLOS JAVIER', 'HERNAN FEDERICO', 'SOLEDAD', 'SILVINA EUGENIA', 'GASTON MARIO', 'NATALIA SILVIA', 'EMILIANO EZEQUIEL', 'CARLOS RAFAEL', 'JUAN MARTIN', 'ADRIAN ANGEL', 'FEDERICO OSCAR', 'MARIA TERESA', 'WALTER OSCAR', 'ELIANA GABRIELA', 'MATIAS NICOLAS', 'SILVIA MARIA', 'VERONICA DANIELA', 'MARIA VICTORIA', 'LUCIANA', 'SEBASTIAN', 'MARINA NATALIA', 'CLAUDIA ROXANA', 'MARIA PIA', 'CESAR RAFAEL', 'JUAN RITO']",Alianza Frente para la Victoria,Catamarca,20,15
Mirkin    Beatriz Graciela,Mirkin    Beatriz Graciela,"['ROMINA DENISE', 'PEDRO SEGUNDO', 'GUILLERMINA PAOLA', 'ELOISA CARLINA', 'ANGELA DEL VALLE', 'OSCAR SIMON', 'VERONICA', 'VICTOR EDUARDO', 'MARIA FLORENCIA', 'MARIA JULIETA', 'MARIA DEL CARMEN', 'MARIA EVA', 'LILIANA RUTH', 'MONICA ALEJANDRA', 'JOSE FRANCISCO', 'EMILIO', 'KAREN YANINA', 'MARÍA LUCILA', 'MONICA TRINIDAD', 'CRISTINA', 'MARIANA', 'MONICA FERNANDA', 'SANDRA ANGELICA']",Alianza Frente para la Victoria,Tucumán,5,18
Montenegro    Gerardo Antenor,Montenegro    Gerardo Antenor,"['RAUL ERNESTO', 'ADELA INES', 'GABRIELA FABIANA', 'MILTON DANIEL', 'MARIA EUGENIA', 'SOFIA', 'SANDRA ELIZABETH', 'CARLOS ALBERTO', 'VALERIA DANIELA ITATI', 'ALICIA', 'CARLOS OSVALDO', 'KAREN NOELIA', 'SILVINA', 'RAMON ARIEL ALEJANDRO', 'LUCIANA', 'DANIEL EDUARDO', 'MARIANA SOFIA', 'JAVIER FERNANDO', 'MAXIMO JOSE', 'VICTORIA RAQUEL', 'GUSTAVO AGUSTIN', 'ENRIQUE ARISTOBULO', 'MARIA EVA', 'RAUL ALEJANDRO', 'ALTEZA TERESITA', 'HORACIO RODOLFO', 'MARIA GUADALUPE', 'JOSE EDGARDO', 'MARIA LAURA', 'OSVALDO ANIBAL', 'PABLO MARIANO', 'MARIA ANGELA', 'NESTOR DANIEL', 'FATIMA SANDRA', 'VANESA DEL CARMEN', 'LEANDRO MAXIMILIANO', 'IVANA ELIANA', 'FEDERICO NICOLAS', 'ROSA BEATRIZ', 'GUSTAVO ALEJANDRO', 'MARCELO DANIEL', 'MIRTA MAGDALENA']",Frente Popular,Santiago del Estero,20,21
Odarda    María Magdalena,Odarda    María Magdalena,"['MARIA CAROLINA', 'MARTA ELIZABETH', 'CLAUDIA ANALI', 'SERGIO MARCELO', 'VIVIANA MARGARITA', 'RICARDO MARTIN', 'DIEGO', 'CESAR HECTOR DAMIAN', 'MARIA LIZA', 'MATIAS SEBASTIAN', 'JUAN ERNESTO', 'DAFNE', 'GUSTAVO ANDRES', 'JOANNA LORENA']",Alianza Frente Progresista,Río Negro,7,7
Ojeda    José Anatolio,Ojeda    José Anatolio,"['NOELIA AYELEN', 'NICOLAS EZEQUIEL', 'MAXIMILIANO ARIEL', 'ALICIA DELIA', 'GABRIELA MERCEDES', 'MARIANA', 'MARIELA EMILSE', 'VICTOR HUGO', 'PABLO JOSE', 'JORGE ALBERTO', 'FRESIA DEL CARMEN', 'VANESA RAQUEL', 'LUCIA', 'MARIA JOSE', 'DANIEL', 'ANDREA LORENA', 'GUADALUPE', 'VANESA ISABEL', 'BELISARIO MARTIN', 'MARIA CARLA', 'FLAVIO JUAN', 'JOSEFINA LUCIA']",Alianza Frente para la Victoria,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",8,14
Pais    Juan Mario,Pais    Juan Mario,"['MARIA ANGELICA', 'ALEJANDRO JAVIER', 'LUCIANO', 'FERNANDO MARTIN', 'BRUNO NICOLAS', 'MANUEL ENRIQUE', 'RAMON ROGELIO', 'EUGENIO JUAN MANUEL', 'LUCIANA ANDREA', 'NICOLAS GASTON', 'GIMENA NAHIR', 'IGNACIO', 'LEANDRO SEBASTIÁN', 'MARCIAL ALEJANDRO', 'FLORENCIA', 'OSCAR ALFREDO', 'RAMIRO', 'OSCAR ALBERTO O.', 'GLADYS EDITH']",Alianza Frente para la Victoria,Chubut,14,5
Pereyra    Guillermo Juan,Pereyra    Guillermo Juan,"['RUBEN MARCELO', 'ALEJANDRO HUGO', 'TAMARA NATALIA', 'GUSTAVO ADRIAN', 'LIDIA DE LOS ANGELES', 'MARTIN GUILLERMO', 'PEDRO DAVID', 'RAUL HECTOR', 'JUAN MANUEL', 'CAMILA NICOLE', 'ESTANISLAO MARTIN', 'HUGO NICOLAS', 'GUSTAVO ALEJANDRO']",Movimiento Popular Neuquino,Neuquén,10,3
Perotti    Omar Ángel,Perotti    Omar Ángel,"['GABRIEL OBDULIO', 'DIEGO MAXIMILIANO', 'PAULA ELISA', 'GUSTAVO LUIS', 'VERONICA ROMINA', 'PERLA VIVIANA', 'MARINA GABRIELA', 'LARA', 'MARINA ANDREA', 'ANDREA ALEXANDRA', 'FABRICIO EDGARDO', 'MARCELO JOSE', 'OSCAR ARGENTINO', 'EDUARDO MIGUEL', 'NORA LILIANA', 'RAMON EMILIANO', 'TOMAS GUIDO', 'CESAR', 'MARIA CECILIA', 'SILVINA VERÓNICA', 'MARIA EUGENIA', 'ANGELINA E.', 'VERÓNICA  ALICIA', 'MANUELA', 'MARIANELA', 'MARIA EUGENIA', 'LEILEN', 'AMERICO OSVALDO', 'LUCIANA ANDREA', 'RENE ANTONIO', 'ALEJANDRO RAMON SEBASTIAN', 'MARIO AGUSTIN', 'MARIANO ALBERTO', 'DARIO NICOLAS']",Alianza Frente para la Victoria,Santa Fe,16,17
Petcoff Naidenoff    Luis Carlos,Petcoff Naidenoff    Luis Carlos,"['CAROLINA', 'HUGO RAUL', 'DARIO ESTEBAN', 'LIBIO MAURO RODRIGO', 'LUIS ALBERTO', 'EDUARDO ALEJANDRO', 'MARCELA ALEJANDRA', 'MONICA ALEJANDRA', 'ANTONIO FERNANDO', 'HUMBERTO MARIO', 'ELVA NOEMI', 'ANDREA BEATRIZ', 'MATILDE', 'MARA SOLEDAD', 'CARLOS ALBERTO', 'JORGE JESUS', 'HUGO ROBERTO', 'JOSE GERARDO', 'ORLANDO GUSTAVO', 'SANTIAGO HERNAN', 'ROSARIO', 'MIGUEL CIRIACO', 'DIEGO RAMON', 'DARIO ALBERTO', 'EMILIANO', 'MIGUEL ENRIQUE', 'ANDRES NICOLAS', 'CLAUDIA', 'SILVIO RAUL', 'CESAR ALEJANDRO', 'MARTIN', 'CESAR HORACIO']",Frente Amplio Formoseño Cambiemos,Formosa,23,9
Pichetto    Miguel Ángel,Pichetto    Miguel Ángel,"['SEBASTIAN GABRIEL', 'SILVIO ULISES', 'PEDRO MARCELO', 'MARIA JOSEFINA', 'MYRIAN LUCIA', 'ESTHER ROSALIA', 'RICARDO JULIO', 'MARCOS DANIEL', 'ANALIA', 'FLAVIA CARINA', 'ESTEBAN ERNESTO', 'CLAUDIA BEATRIZ', 'MARIA PAULA', 'LUISINA NATALI', 'SARA BEATRIZ', 'ENRIQUETA CLAUDINA', 'MARCELO IVAN', 'JUAN PABLO', 'MAXIMILIANO EZEQUIEL', 'MARIA TERESA', 'GABRIEL ARMANDO', 'CARLOS ALFREDO', 'LORENA SOLEDAD', 'CARLA', 'MARILYN SILVANA ANAHI', 'NESTOR OMAR', 'EDGAR ENRIQUE', 'ELBIO GERMAN', 'FEDERICO ANDRES', 'ERICA JORGELINA', 'JUAN CARLOS', 'MARIA AGUSTINA', 'REINALDO OSVALDO', 'LUCIANA CLAUDIA', 'JUAN JOSE', 'DIEGO HERNAN', 'ALEJANDRA ANDREA', 'FERNANDO ADEMAR']",Frente para la Victoria,Río Negro,20,18
Pilatti Vergara    María Inés,Pilatti Vergara    María Inés,"['TOMAS ISE', 'DIEGO HORACIO', 'DIEGO FERNANDO', 'EDUARDO EMILIO', 'MAXIMILIANO', 'ROCIO LAILA', 'JULIAN', 'REYNA MAGDALENA', 'GERARDO JAVIER', 'FABRICIO NELSON', 'OSVALDO GUILLERMO', 'FABIOLA', 'JUAN FACUNDO', 'MOIRA EVELIN', 'JOSE LUIS EDUARDO', 'JUAN PABLO', 'YAMILA DENISE', 'LORENA VANINA', 'SOFIA', 'FLAVIA VERONICA', 'SANTIAGO', 'LAURA INES', 'PABLO FERNANDO', 'MARIANO', 'GUILLERMO RODOLFO FERNANDO', 'MARIA LORENA', 'ROCIO ELIZABETH', 'MARTIN NAHUEL', 'HECTOR RAMON', 'JOSE MIGUEL', 'LILIANA ELISA', 'ROSELLA AGOSTINA', 'PATRICIA MARIANA', 'PABLO ISMAEL']",Frente para la Victoria,Chaco,20,14
Pinedo    Federico,Pinedo    Federico,"['LUCIA', 'ARTURO EDUARDO', 'MARIA SOLEDAD', 'JUSTO JAVIER', 'MARTA GRACIELA', 'LIUBA', 'PABLO', 'MERCEDES', 'MARIA MERCEDES', 'MARIA EMILIA', 'CLOE MARIA', 'MARIA CANDELARIA', 'PEDRO ESTEBAN', 'DIMAS', 'MARIANO', 'MARIA SUSANA', 'ANDREA']",Alianza Unión Pro,Ciudad Autónoma de Buenos Aires,6,11
Poggi    Claudio Javier,Poggi    Claudio Javier,"['MARTA RAQUEL CEFERINA', 'VANESA NOEMI', 'LAUREANO JESUS', 'SONIA SILVANA', 'RICARDO ANIBAL', 'SANDRA MABEL', 'MARIA FERNANDA', 'FABIOLA DANIELA', 'BENITO HUGO', 'NESTOR ALBERTO', 'TERESITA MABEL', 'FAVIO ARIEL', 'SEBASTIAN', 'CARLOS MARINO', 'CLAUDIO DANIEL', 'MONICA MARIELA', 'ROMINA ANDREA', 'JOSE ALBERTO']",Avanzar y Cambiemos por San Luis,San Luis,9,9
Porcel de Riccobelli    Blanca,Porcel de Riccobelli    Blanca,"['HUGO MATIAS', 'VERONICA GRACIELA', 'JOSE RAUL', 'JOAQUIN ALBERTO', 'CARLOS ALBERTO', 'LETICIA', 'ANDRES BARTOLOME', 'ANDREA GABRIELA', 'FLORENCIA', 'AZUL', 'MOISES AMADOR', 'MARIA PILAR', 'MARIA JOSE']",Alianza Frente Cívico,Santiago del Estero,6,7
Reutemann    Carlos Alberto,Reutemann    Carlos Alberto,"['JORGE OMAR', 'FERNANDO MARTIN', 'SEBASTIAN', 'MARCELO AGUSTIN', 'MARIA EUGENIA', 'GUIDO ALAN', 'AUGUSTO', 'JOSEFINA', 'ANA', 'GRACIELA MARIA', 'JOSEMARIA', 'MATIAS EZEQUIEL', 'RUTH ESTER', 'TATIANA', 'IVANA DEBORA', 'ELENA PERLA', 'JOSE LUIS', 'MARIA VERONICA', 'PATRICIA NORA', 'EDUARDO RUBEN', 'BRUNO OMAR']",Alianza Cambiemos,Santa Fe,11,10
Rodríguez Machado    Laura Elena,Rodríguez Machado    Laura Elena,"['LUIS MARIO', 'TEDY', 'MARIA LORENA', 'MARIA SOLEDAD', 'ELIZABETH ALICIA', 'PABLO LUIS', 'GRACIELA BEATRIZ', 'AGUSTINA', 'JENNIFFER', 'JEREMIAS', 'MIRNA GISELA', 'MARIA LAURA', 'DANIELA LAURA', 'VERONICA SANDRA', 'CARLOS ARIEL', 'NICOLAS', 'MATIAS JOSE', 'AMANDA EVA', 'JOAQUIN ANDRES', 'MARIA FLORENCIA', 'RICARDO FRANCISCO', 'JAVIER ALEJANDRO', 'ISABEL MERCEDES', 'RICARDO CHRISTIAN', 'DIEGO MARTIN', 'SERGIO EMILIO', 'MARIA JOSE']",Alianza Cambiemos,Córdoba,13,14
Rodríguez Saá    Adolfo,Rodríguez Saá    Adolfo,"['ROSALINO', 'MARIO OSCAR', 'NESTOR MARCELO', 'JORGE DANIEL', 'JUAN DOMINGO', 'NORA LILIANA', 'ANA CECILIA', 'WENCESLAO', 'CESAR HUMBERTO', 'JUAN PABLO', 'MARIA DE LA PAZ', 'CARLOS FEDERICO', 'ALEJANDRO CESAR', 'MARÍA LUJAN', 'FLORENCIA INES', 'JOSE MARIA', 'MARCELA', 'MATILDE ELINA', 'SERGIO RAFAEL', 'HECTOR RODOLFO', 'GABRIELA MARTA', 'MAURICIO NICOLAS', 'MARIANA', 'LIVIA MABEL', 'CLAUDIA MALVINA', 'SUSANA', 'JOSE CRISTIAN', 'SILVIA RAQUEL', 'MARIA PAULA', 'JORGE ALBERTO', 'AMADO JOSE', 'ANTONIO VICTOR SALVADOR', 'JOEL', 'MARIA MERCEDES', 'GABRIEL AARON', 'HELGA ELENA', 'MONICA SUSANA', 'CARLOS JOSE ANTONIO', 'SANDRA', 'NADYA SOLEDAD']",Frente Unidad Justicialista San Luis,San Luis,20,19
Romero    Juan Carlos,Romero    Juan Carlos,"['RITA BEATRIZ', 'MIRTA MARGARITA', 'AROLDO JESUS', 'FERNANDO JAVIER', 'OMAR NICOLAS', 'GUILLERMO ENRIQUE', 'PAULA EUGENIA', 'JULIO ARGENTINO', 'ANA LUCIA', 'RAMIRO MARTIN', 'HECTOR GUILLERMO', 'JAVIER ALEJANDRO', 'DANIEL MAURO', 'ALEJANDRO JULIO', 'LORENA CINTIA', 'CESAR MIGUEL', 'LORENA CARLA', 'FERNANDO DANIEL', 'LUIS EMILIO', 'NORBERTO OSVALDO', 'EDUARDO', 'DAIANA KAREN', 'HECTOR ADOLFO', 'PABLO GASTON', 'YOSKO']",Frente Popular Salteño,Salta,17,7
Rozas    Ángel,Rozas    Ángel,"['PATRICIO', 'JORGE GABRIEL', 'PATRICIA ANDREA', 'PABLO ESTEBAN', 'ATILIO FEDERICO', 'MAXIMILIANO JORGE ENRIQUE', 'SERGIO JAVIER', 'MARTIN', 'OSCAR ALBERTO', 'BERNARDITA', 'LEANDRO IVAN', 'ALBA VIVIANA', 'MARIANO FERNANDO', 'JOSE FELIX', 'JORGE IGNACIO', 'PAMELA', 'ALEJANDRO']",Unión por Chaco,Chaco,13,4
Sacnun    María de los Ángeles,Sacnun    María de los Ángeles,"['JULIAN ELVIO', 'CAROLINA', 'MELINA PAOLA', 'JOSE ALBERTO', 'TITO GABRIEL LEONARDO', 'FRANCO MAXIMILIANO', 'FABIANA VALERIA', 'GABRIEL OSMAR', 'JUAN PABLO', 'PAULA ANDREA', 'EMILIO FERNANDO', 'PATRICIA', 'MARIELA SILVANA', 'PAOLA CECILIA', 'PABLO GABRIEL', 'NATALIA BELEN', 'RUBEN GABRIEL', 'MATIAS EZEQUIEL', 'MIGUEL ANGEL', 'CRISTIAN PABLO', 'MARIA BELEN', 'MARIO DANIEL', 'MARIA EMILIA']",Alianza Frente para la Victoria,Santa Fe,13,10
Schiavoni    Humberto Luis Arturo,Schiavoni    Humberto Luis Arturo,"['MARIA JOSE', 'LUIS ALEJANDRO', 'MARTIN ALEJANDRO', 'EMILIANO NICOLAS', 'EDUARDO LEANDRO', 'MAXIMILIANO', 'NICOLAS IGNACIO']",Frente Cambiemos,Misiones,6,1
Snopek    Guillermo Eugenio Mario,Snopek    Guillermo Eugenio Mario,"['MARCELA', 'PEDRO JAVIER', 'CARLOS HUGO', 'MARIA ANGELICA', 'LUIS MARTIN', 'CELSO ALEJANDRO', 'HECTOR ESTEBAN', 'MARCELO OCTAVIO', 'DAVID EZEQUIEL', 'JOSE FABIAN', 'VICTOR ALBERTO', 'RAFAEL', 'HECTOR OLINDO', 'LUCAS IGNACIO', 'ANABELLA CINTIA', 'MARIA PAULA', 'OSVALDO', 'CARLOS ALBERTO', 'CARLOS ALBERTO', 'MIGUEL ALBERTO', 'LISANDRO', 'MARIA EUGENIA', 'GUSTAVO HECTOR', 'NESTOR OSCAR', 'VICTOR ORLANDO', 'ALEJANDRO CIRO', 'EMMANUEL IGNACIO', 'TIMOTEO', 'ESTEBAN MARTIN', 'MARIA EMILIA', 'LAURA CAROLINA']",Frente Justicialista,Jujuy,24,7
Solanas    Fernando Ezequiel,Solanas    Fernando Ezequiel,"['JUAN PABLO', 'LORENA IVANNA', 'JOAQUÍN IGNACIO', 'CLAUDIA EVANGELINA ANTONIA', 'PAULO SERGIO', 'AILEN LORENA', 'LUCIANO ALEJANDRO', 'FABIAN CARLOS', 'ENRIQUE MATIAS', 'PABLO ARIEL', 'ALEJANDRO JORGE', 'MARIO ALEJANDRO HILARIO', 'SERGIO JAVIER', 'KIKU ANA', 'ANTONIO ALEJANDRO', 'NICOLAS EMANUEL', 'ANA MARIA', 'MARINA JULIA', 'PABLO DANIEL', 'FELIX JAVIER', 'RICARDO WALTER', 'LUCA RAMIRO', 'PAULO', 'FELIPE HECTOR', 'CAMILO', 'FERNANDO LUIS A.', 'SILVIA INES', 'CHRISTIAN PABLO', 'MARIA JOSE', 'JOEL', 'ALEJANDRO FABIAN']",Alianza Unen,Ciudad Autónoma de Buenos Aires,24,7
Solari  Quintana    Magdalena,Solari  Quintana    Magdalena,"['ADRIAN JORGE', 'JUAN IGNACIO', 'NICOLAS ADRIAN', 'NOEMI RAQUEL', 'NICOLAS DANIEL', 'ANDREA BEATRIZ', 'GUSTAVO MARCELO', 'IRENE NOEMI', 'CARLA GISELLE', 'PABLO SEBASTIAN', 'MARIA CECILIA', 'NORMA CLAUDIA', 'SILVANA MARCELA', 'IVONE ROSANA', 'JUAN JOSE', 'CARLA LUCIA', 'NADIA BEATRIZ IVANNA', 'ROMINA', 'SERGIO JAVIER', 'NESTOR IVAN', 'EDGARDO DARIO', 'VALENTINA', 'CAMILA']",Frente Renovador de la Concordia,Misiones,10,13
Tapia    María Belén,Tapia    María Belén,"['ALDANA EMILIA', 'MARIA AGUSTINA', 'ELENA VIRGINIA', 'MATILDE NOEMI', 'ALDANA VALERIA', 'YOLANDA BEATRIZ', 'SUSANA ELIZABETH', 'ARTURO ALEJANDRO', 'JORGE RAUL', 'JORGE OMAR', 'LAURA BEATRIZ', 'PABLO FERNANDO', 'NICOLÁS', 'JUAN BAUTISTA', 'JULIO']",Union para Vivir Mejor Cambiemos,Santa Cruz,6,8
Uñac    José Rubén,Uñac    José Rubén,"['ENRIQUE CLAUDIO', 'CRISTINA FERNANDA', 'LAURA DELIA', 'PAMELA ANDREA', 'YASSER ARIAN', 'JUAN CRUZ', 'GUILLERMO LEANDRO', 'MARIA ELENA', 'MARIA DE LOS ANGELES', 'MARIA PIA', 'CAMILA', 'MARIA GRACIELA', 'SILVIA LETICIA', 'EUGENIO', 'GUSTAVO JOSE', 'VALERIA LORENA', 'HORACIO ANDRES', 'MARIO ALBERTO', 'RODOLFO CARLOS', 'CAMILA MARIA', 'ESTEBAN ADOLFO', 'GERARDO LUIS', 'SILVINA MARIEL', 'FERNANDO RUBEN']",Frente Todos,San Juan,12,12
Urtubey    Rodolfo Julio,Urtubey    Rodolfo Julio,"['JUAN MANUEL', 'DANIEL ALBERTO', 'CAROLINA RENEE', 'SERGIO', 'RODOLFO CARLOS', 'ARIEL JOSE', 'GEORGINA', 'JUAN MANUEL', 'VIVIANA VIOLETA', 'MARIA GABRIELA', 'ELENA', 'ERNESTO S.', 'LUIS ESTEBAN DEL VALLE', 'MARIA DEL CARMEN', 'MARTIN', 'MARIA DEL ROSARIO', 'LORENA MABEL', 'CANDELARIA', 'ALEJANDRA CECILIA', 'NILDA DEL VALLE', 'NATALIA SOLEDAD']",Frente para la Victoria,Salta,9,12
Varela    Marta,Varela    Marta,"['MANUEL', 'CAROLINA', 'ALEJANDRO DAVID', 'VIRGINIA SOL', 'FERNANDO', 'MARTIN FRANCISCO', 'CARLA SOFIA', 'PAULA', 'CLARA LUISA', 'MARTA GRACIELA', 'CARMEN SUSANA', 'JAVIER LISANDRO', 'JOSEFINA', 'PATRICIA INES', 'JOSE']",Alianza Unión Pro,Ciudad Autónoma de Buenos Aires,6,9
Verasay    Pamela Fernanda,Verasay    Pamela Fernanda,"['FACUNDO DANIEL', 'ROBERTO EDUARDO', 'MARIANA ALEJANDRA', 'MARIA PAULA', 'EDUARDO AGENOR', 'NELSON WILLIAM', 'EDUARDO DANIEL', 'JUAN MANUEL', 'MATIAS JOSE', 'PAMELA DALINDA', 'NOELIA FERNANDA', 'JORGE AUGUSTO', 'JALED HASAN', 'OSVALDO FABIAN', 'MARIANELA LIDIA', 'VALERIA ANDREA', 'HERNAN ABEL', 'SERGIO ALEJANDRO', 'BELEN DEL CARMEN', 'ALEJANDRO ISRAEL', 'MARIA ANDREA']",Alianza Cambiemos,Mendoza,13,8
